protein_acc,serogroup,class
WP_000344487.1,Icterohaemorrhagiae,1
WP_000344487.1,Icterohaemorrhagiae,1
WP_000093099.1,Icterohaemorrhagiae,1
WP_223809837.1,Icterohaemorrhagiae,1
WP_001106774.1,Icterohaemorrhagiae,1
WP_000834715.1,Icterohaemorrhagiae,1
WP_000834715.1,Icterohaemorrhagiae,1
WP_000799638.1,Icterohaemorrhagiae,1
WP_001206409.1,Icterohaemorrhagiae,1
WP_000579821.1,Icterohaemorrhagiae,1
WP_001052315.1,Icterohaemorrhagiae,1
WP_000132016.1,Icterohaemorrhagiae,1
WP_000600889.1,Icterohaemorrhagiae,1
WP_000947844.1,Icterohaemorrhagiae,1
WP_000516588.1,Icterohaemorrhagiae,1
WP_001230564.1,Icterohaemorrhagiae,1
WP_001230564.1,Icterohaemorrhagiae,1
WP_000823150.1,Icterohaemorrhagiae,1
WP_000800438.1,Icterohaemorrhagiae,1
WP_000800438.1,Icterohaemorrhagiae,1
WP_000847001.1,Icterohaemorrhagiae,1
WP_000582619.1,Icterohaemorrhagiae,1
WP_000582619.1,Icterohaemorrhagiae,1
WP_000582619.1,Icterohaemorrhagiae,1
WP_000582619.1,Icterohaemorrhagiae,1
WP_000346036.1,Icterohaemorrhagiae,1
WP_001046757.1,Icterohaemorrhagiae,1
WP_000202825.1,Icterohaemorrhagiae,1
WP_000432947.1,Icterohaemorrhagiae,1
WP_002082140.1,Icterohaemorrhagiae,1
WP_000698821.1,Icterohaemorrhagiae,1
WP_000977949.1,Icterohaemorrhagiae,1
WP_000547428.1,Icterohaemorrhagiae,1
WP_000231291.1,Icterohaemorrhagiae,1
WP_001012068.1,Icterohaemorrhagiae,1
WP_000848238.1,Icterohaemorrhagiae,1
WP_000734411.1,Icterohaemorrhagiae,1
WP_000734411.1,Icterohaemorrhagiae,1
WP_001022640.1,Icterohaemorrhagiae,1
WP_000661932.1,Icterohaemorrhagiae,1
WP_000675255.1,Icterohaemorrhagiae,1
WP_000675255.1,Icterohaemorrhagiae,1
WP_000045934.1,Icterohaemorrhagiae,1
WP_000859505.1,Icterohaemorrhagiae,1
WP_000487322.1,Icterohaemorrhagiae,1
WP_001045300.1,Icterohaemorrhagiae,1
WP_000601375.1,Icterohaemorrhagiae,1
WP_001068986.1,Icterohaemorrhagiae,1
WP_001255897.1,Icterohaemorrhagiae,1
WP_000218148.1,Icterohaemorrhagiae,1
WP_000218148.1,Icterohaemorrhagiae,1
WP_000007538.1,Icterohaemorrhagiae,1
WP_000549978.1,Icterohaemorrhagiae,1
WP_000549978.1,Icterohaemorrhagiae,1
WP_000549978.1,Icterohaemorrhagiae,1
WP_000668362.1,Icterohaemorrhagiae,1
WP_000583389.1,Icterohaemorrhagiae,1
WP_000525968.1,Icterohaemorrhagiae,1
WP_016689799.1,Icterohaemorrhagiae,1
WP_000475901.1,Icterohaemorrhagiae,1
WP_001024126.1,Icterohaemorrhagiae,1
WP_001024126.1,Icterohaemorrhagiae,1
WP_000734455.1,Icterohaemorrhagiae,1
WP_000686571.1,Icterohaemorrhagiae,1
WP_000289498.1,Icterohaemorrhagiae,1
WP_000103603.1,Icterohaemorrhagiae,1
WP_000939580.1,Icterohaemorrhagiae,1
WP_000050431.1,Icterohaemorrhagiae,1
WP_002078515.1,Icterohaemorrhagiae,1
WP_001084681.1,Icterohaemorrhagiae,1
WP_000876100.1,Icterohaemorrhagiae,1
WP_000343395.1,Icterohaemorrhagiae,1
WP_000575178.1,Icterohaemorrhagiae,1
WP_000125497.1,Icterohaemorrhagiae,1
WP_000282880.1,Icterohaemorrhagiae,1
WP_000853994.1,Icterohaemorrhagiae,1
WP_000853994.1,Icterohaemorrhagiae,1
WP_001159758.1,Icterohaemorrhagiae,1
WP_000642163.1,Icterohaemorrhagiae,1
WP_000723092.1,Icterohaemorrhagiae,1
WP_000842260.1,Icterohaemorrhagiae,1
WP_000878673.1,Icterohaemorrhagiae,1
WP_001114264.1,Icterohaemorrhagiae,1
WP_000394240.1,Icterohaemorrhagiae,1
WP_000827961.1,Pyrogenes,1
WP_000340715.1,Pyrogenes,1
WP_000410273.1,Pyrogenes,1
WP_000604524.1,Pyrogenes,1
WP_000884059.1,Pyrogenes,1
WP_000646253.1,Pyrogenes,1
WP_000774263.1,Pyrogenes,1
WP_240738528.1,Pyrogenes,1
WP_240738528.1,Pyrogenes,1
WP_001067557.1,Pyrogenes,1
WP_001198107.1,Pyrogenes,1
WP_000608292.1,Pyrogenes,1
WP_000689747.1,Pyrogenes,1
WP_000689747.1,Pyrogenes,1
WP_000342716.1,Pyrogenes,1
WP_017857901.1,Pyrogenes,1
WP_017857901.1,Pyrogenes,1
WP_000479982.1,Pyrogenes,1
WP_000715956.1,Pyrogenes,1
WP_001088861.1,Pyrogenes,1
WP_240738526.1,Pyrogenes,1
WP_002079019.1,Pyrogenes,1
WP_240738524.1,Pyrogenes,1
WP_002095414.1,Pyrogenes,1
WP_000284356.1,Pyrogenes,1
WP_001091189.1,Pyrogenes,1
WP_000667982.1,Pyrogenes,1
WP_000815073.1,Pyrogenes,1
WP_000575398.1,Pyrogenes,1
WP_000726053.1,Pyrogenes,1
WP_000667249.1,Pyrogenes,1
WP_000406286.1,Pyrogenes,1
WP_239248138.1,Pyrogenes,1
WP_000572389.1,Pyrogenes,1
WP_002079020.1,Pyrogenes,1
WP_000947528.1,Pyrogenes,1
WP_000797356.1,Pyrogenes,1
WP_000797356.1,Pyrogenes,1
WP_000132017.1,Pyrogenes,1
WP_000600886.1,Pyrogenes,1
WP_000947842.1,Pyrogenes,1
WP_240738521.1,Pyrogenes,1
WP_001230568.1,Pyrogenes,1
WP_001230568.1,Pyrogenes,1
WP_000823151.1,Pyrogenes,1
WP_241468522.1,Pyrogenes,1
WP_241468522.1,Pyrogenes,1
WP_241468521.1,Pyrogenes,1
WP_240738570.1,Pyrogenes,1
WP_240738570.1,Pyrogenes,1
WP_240738570.1,Pyrogenes,1
WP_240738570.1,Pyrogenes,1
WP_241468520.1,Pyrogenes,1
WP_000847003.1,Pyrogenes,1
WP_240738519.1,Pyrogenes,1
WP_240738519.1,Pyrogenes,1
WP_240738519.1,Pyrogenes,1
WP_240738519.1,Pyrogenes,1
WP_000346038.1,Pyrogenes,1
WP_001046757.1,Pyrogenes,1
WP_000202827.1,Pyrogenes,1
WP_000432947.1,Pyrogenes,1
WP_002082140.1,Pyrogenes,1
WP_000547424.1,Pyrogenes,1
WP_000231291.1,Pyrogenes,1
WP_001012068.1,Pyrogenes,1
WP_000848239.1,Pyrogenes,1
WP_000734409.1,Pyrogenes,1
WP_000734409.1,Pyrogenes,1
WP_240738510.1,Pyrogenes,1
WP_000661930.1,Pyrogenes,1
WP_240738509.1,Pyrogenes,1
WP_240738509.1,Pyrogenes,1
WP_000045934.1,Pyrogenes,1
WP_000859505.1,Pyrogenes,1
WP_000487322.1,Pyrogenes,1
WP_001045300.1,Pyrogenes,1
WP_000601375.1,Pyrogenes,1
WP_001068986.1,Pyrogenes,1
WP_000218149.1,Pyrogenes,1
WP_000218149.1,Pyrogenes,1
WP_000007536.1,Pyrogenes,1
WP_000549974.1,Pyrogenes,1
WP_000549974.1,Pyrogenes,1
WP_000549974.1,Pyrogenes,1
WP_000668353.1,Pyrogenes,1
WP_240738501.1,Pyrogenes,1
WP_000475904.1,Pyrogenes,1
WP_001024127.1,Pyrogenes,1
WP_001024127.1,Pyrogenes,1
WP_137171096.1,Pyrogenes,1
WP_137108275.1,Pyrogenes,1
WP_000289498.1,Pyrogenes,1
WP_000103593.1,Pyrogenes,1
WP_000939575.1,Pyrogenes,1
WP_000050431.1,Pyrogenes,1
WP_001084681.1,Pyrogenes,1
WP_000876106.1,Pyrogenes,1
WP_000343398.1,Pyrogenes,1
WP_000575178.1,Pyrogenes,1
WP_000560749.1,Pyrogenes,1
WP_000282884.1,Pyrogenes,1
WP_240738500.1,Pyrogenes,1
WP_240738500.1,Pyrogenes,1
WP_001159758.1,Pyrogenes,1
WP_000642160.1,Pyrogenes,1
WP_000723090.1,Pyrogenes,1
WP_000842260.1,Pyrogenes,1
WP_000878673.1,Pyrogenes,1
WP_042752237.1,Pyrogenes,1
WP_240738499.1,Pyrogenes,1
WP_240738497.1,Australis,2
WP_004421256.1,Australis,2
WP_004421326.1,Australis,2
WP_243829361.1,Australis,2
WP_004421442.1,Australis,2
WP_004421375.1,Australis,2
WP_004421408.1,Australis,2
WP_004420971.1,Australis,2
WP_004420971.1,Australis,2
WP_004421253.1,Australis,2
WP_004435000.1,Australis,2
WP_004435000.1,Australis,2
WP_004434729.1,Australis,2
WP_004434524.1,Australis,2
WP_004434524.1,Australis,2
WP_004434516.1,Australis,2
WP_004421278.1,Australis,2
WP_004434893.1,Australis,2
WP_004421361.1,Australis,2
WP_004434567.1,Australis,2
WP_004434460.1,Australis,2
WP_004434460.1,Australis,2
WP_004434810.1,Australis,2
WP_004434771.1,Australis,2
WP_004434989.1,Australis,2
WP_004434442.1,Australis,2
WP_061231972.1,Australis,2
WP_004434732.1,Australis,2
WP_243829360.1,Australis,2
WP_243829359.1,Australis,2
WP_232417461.1,Australis,2
WP_004434624.1,Australis,2
WP_004434477.1,Australis,2
WP_004434939.1,Australis,2
WP_004434773.1,Australis,2
WP_004434738.1,Australis,2
WP_004434568.1,Australis,2
WP_004434462.1,Australis,2
WP_232436020.1,Australis,2
WP_004434874.1,Australis,2
WP_004434874.1,Australis,2
WP_004434663.1,Australis,2
WP_198289705.1,Australis,2
WP_004434466.1,Australis,2
WP_004434686.1,Australis,2
WP_004434756.1,Australis,2
WP_004434756.1,Australis,2
WP_004434935.1,Australis,2
WP_051060727.1,Australis,2
WP_036032239.1,Australis,2
WP_004434561.1,Australis,2
WP_004434629.1,Australis,2
WP_004434629.1,Australis,2
WP_004434740.1,Australis,2
WP_004434437.1,Australis,2
WP_243815746.1,Australis,2
WP_036032297.1,Australis,2
WP_036032236.1,Australis,2
WP_157434982.1,Australis,2
WP_243829358.1,Australis,2
WP_004434977.1,Australis,2
WP_004421360.1,Australis,2
WP_243829357.1,Australis,2
WP_004421329.1,Australis,2
WP_004421044.1,Australis,2
WP_004421446.1,Australis,2
WP_004421390.1,Australis,2
WP_004421471.1,Australis,2
WP_004450657.1,Australis,2
WP_004421009.1,Australis,2
WP_004421032.1,Australis,2
WP_004421440.1,Australis,2
WP_232417455.1,Australis,2
WP_004421346.1,Australis,2
WP_004421149.1,Australis,2
WP_004421318.1,Australis,2
WP_004434985.1,Australis,2
WP_053522407.1,Australis,2
WP_004456870.1,Australis,2
WP_198289710.1,Australis,2
WP_004434907.1,Australis,2
WP_004434481.1,Australis,2
WP_004421384.1,Australis,2
WP_004434766.1,Australis,2
WP_004434766.1,Australis,2
WP_004434883.1,Australis,2
WP_243829356.1,Australis,2
WP_243829355.1,Australis,2
WP_036098378.1,Australis,2
WP_004421024.1,Australis,2
WP_004421079.1,Australis,2
WP_061233018.1,Australis,2
WP_004434793.1,Australis,2
WP_243829354.1,Australis,2
WP_004421210.1,Australis,2
WP_004421405.1,Australis,2
WP_002147278.1,Australis,2
WP_243829353.1,Australis,2
WP_243829353.1,Australis,2
WP_243829352.1,Australis,2
WP_004455913.1,Australis,2
WP_004455914.1,Australis,2
WP_004421125.1,Australis,2
WP_004434754.1,Australis,2
WP_004421411.1,Australis,2
WP_004434750.1,Australis,2
WP_061245725.1,Autumnalis,2
WP_000340715.1,Autumnalis,2
WP_004421326.1,Autumnalis,2
WP_243817859.1,Autumnalis,2
WP_004448470.1,Autumnalis,2
WP_004448459.1,Autumnalis,2
WP_004421408.1,Autumnalis,2
WP_004448480.1,Autumnalis,2
WP_004448480.1,Autumnalis,2
WP_036062285.1,Autumnalis,2
WP_004448474.1,Autumnalis,2
WP_004448477.1,Autumnalis,2
WP_004448462.1,Autumnalis,2
WP_004448462.1,Autumnalis,2
WP_036062289.1,Autumnalis,2
WP_004448469.1,Autumnalis,2
WP_004448469.1,Autumnalis,2
WP_004448471.1,Autumnalis,2
WP_004421278.1,Autumnalis,2
WP_004448460.1,Autumnalis,2
WP_004448464.1,Autumnalis,2
WP_243817858.1,Autumnalis,2
WP_232724681.1,Autumnalis,2
WP_243817857.1,Autumnalis,2
WP_004421412.1,Autumnalis,2
WP_004448479.1,Autumnalis,2
WP_004448466.1,Autumnalis,2
WP_004421447.1,Autumnalis,2
WP_004421447.1,Autumnalis,2
WP_004448475.1,Autumnalis,2
WP_004448468.1,Autumnalis,2
WP_243817856.1,Autumnalis,2
WP_243817856.1,Autumnalis,2
WP_243817856.1,Autumnalis,2
WP_243817856.1,Autumnalis,2
WP_036063888.1,Autumnalis,2
WP_036063888.1,Autumnalis,2
WP_004450644.1,Autumnalis,2
WP_243817855.1,Autumnalis,2
WP_004450690.1,Autumnalis,2
WP_004450706.1,Autumnalis,2
WP_004450706.1,Autumnalis,2
WP_004421460.1,Autumnalis,2
WP_004450681.1,Autumnalis,2
WP_036063866.1,Autumnalis,2
WP_004450670.1,Autumnalis,2
WP_004450713.1,Autumnalis,2
WP_004450693.1,Autumnalis,2
WP_004450693.1,Autumnalis,2
WP_004450672.1,Autumnalis,2
WP_232724703.1,Autumnalis,2
WP_004434977.1,Autumnalis,2
WP_004450654.1,Autumnalis,2
WP_243817854.1,Autumnalis,2
WP_004450714.1,Autumnalis,2
WP_004450671.1,Autumnalis,2
WP_004450634.1,Autumnalis,2
WP_004450698.1,Autumnalis,2
WP_004450647.1,Autumnalis,2
WP_004450657.1,Autumnalis,2
WP_243817853.1,Autumnalis,2
WP_004421032.1,Autumnalis,2
WP_004450697.1,Autumnalis,2
WP_232417455.1,Autumnalis,2
WP_198510097.1,Autumnalis,2
WP_004450716.1,Autumnalis,2
WP_036063869.1,Autumnalis,2
WP_004450662.1,Autumnalis,2
WP_004450703.1,Autumnalis,2
WP_004450709.1,Autumnalis,2
WP_198289710.1,Autumnalis,2
WP_243817852.1,Autumnalis,2
WP_243817851.1,Autumnalis,2
WP_004421384.1,Autumnalis,2
WP_004453027.1,Autumnalis,2
WP_004453027.1,Autumnalis,2
WP_243817850.1,Autumnalis,2
WP_243817849.1,Autumnalis,2
WP_243817848.1,Autumnalis,2
WP_061244153.1,Autumnalis,2
WP_243817847.1,Autumnalis,2
WP_243817846.1,Autumnalis,2
WP_243817845.1,Autumnalis,2
WP_243817844.1,Autumnalis,2
WP_243817843.1,Autumnalis,2
WP_004435026.1,Autumnalis,2
WP_004450649.1,Autumnalis,2
WP_004450648.1,Autumnalis,2
WP_004450661.1,Autumnalis,2
WP_243817842.1,Autumnalis,2
WP_243817841.1,Autumnalis,2
WP_243817841.1,Autumnalis,2
WP_157226958.1,Autumnalis,2
WP_004450688.1,Autumnalis,2
WP_243817840.1,Autumnalis,2
WP_004450637.1,Autumnalis,2
WP_243817839.1,Autumnalis,2
WP_243817838.1,Autumnalis,2
WP_243817837.1,Autumnalis,2
WP_279575096.1,Autumnalis,2
WP_279575096.1,Autumnalis,2
WP_004455929.1,Autumnalis,2
WP_004421223.1,Cynopteri,2
WP_004753574.1,Cynopteri,2
WP_004755091.1,Cynopteri,2
WP_004777161.1,Cynopteri,2
WP_004766667.1,Cynopteri,2
WP_004755430.1,Cynopteri,2
WP_004758405.1,Cynopteri,2
WP_016748627.1,Cynopteri,2
WP_016748627.1,Cynopteri,2
WP_004755319.1,Cynopteri,2
WP_004754883.1,Cynopteri,2
WP_016560370.1,Cynopteri,2
WP_004755296.1,Cynopteri,2
WP_004755296.1,Cynopteri,2
WP_002740998.1,Cynopteri,2
WP_004777170.1,Cynopteri,2
WP_004777170.1,Cynopteri,2
WP_004754589.1,Cynopteri,2
WP_002733551.1,Cynopteri,2
WP_004777167.1,Cynopteri,2
WP_004777149.1,Cynopteri,2
WP_162833666.1,Cynopteri,2
WP_162833666.1,Cynopteri,2
WP_016748629.1,Cynopteri,2
WP_016748630.1,Cynopteri,2
WP_016748630.1,Cynopteri,2
WP_016560406.1,Cynopteri,2
WP_016560441.1,Cynopteri,2
WP_016560449.1,Cynopteri,2
WP_016560426.1,Cynopteri,2
WP_016560417.1,Cynopteri,2
WP_016560417.1,Cynopteri,2
WP_099046747.1,Cynopteri,2
WP_099046747.1,Cynopteri,2
WP_016560398.1,Cynopteri,2
WP_244266170.1,Cynopteri,2
WP_016560501.1,Cynopteri,2
WP_016560501.1,Cynopteri,2
WP_004777131.1,Cynopteri,2
WP_004754985.1,Cynopteri,2
WP_004777134.1,Cynopteri,2
WP_004755121.1,Cynopteri,2
WP_004755121.1,Cynopteri,2
WP_000440092.1,Cynopteri,2
WP_004753708.1,Cynopteri,2
WP_004777157.1,Cynopteri,2
WP_004754565.1,Cynopteri,2
WP_004758378.1,Cynopteri,2
WP_004754396.1,Cynopteri,2
WP_004754396.1,Cynopteri,2
WP_004777126.1,Cynopteri,2
WP_004753843.1,Cynopteri,2
WP_016560457.1,Cynopteri,2
WP_004754697.1,Cynopteri,2
WP_004755403.1,Cynopteri,2
WP_004777119.1,Cynopteri,2
WP_244266171.1,Cynopteri,2
WP_004755081.1,Cynopteri,2
WP_016560493.1,Cynopteri,2
WP_004754038.1,Cynopteri,2
WP_016560468.1,Cynopteri,2
WP_004755437.1,Cynopteri,2
WP_016560530.1,Cynopteri,2
WP_016560467.1,Cynopteri,2
WP_016748641.1,Cynopteri,2
WP_016750158.1,Cynopteri,2
WP_162833664.1,Cynopteri,2
WP_162833664.1,Cynopteri,2
WP_016750902.1,Cynopteri,2
WP_016560456.1,Cynopteri,2
WP_244266172.1,Cynopteri,2
WP_004758273.1,Cynopteri,2
WP_002733698.1,Cynopteri,2
WP_004754203.1,Cynopteri,2
WP_004754203.1,Cynopteri,2
WP_016560372.1,Cynopteri,2
WP_004755007.1,Cynopteri,2
WP_004754974.1,Cynopteri,2
WP_016560442.1,Cynopteri,2
WP_002101570.1,Cynopteri,2
WP_004761788.1,Cynopteri,2
WP_004753496.1,Cynopteri,2
WP_004763622.1,Cynopteri,2
WP_004755098.1,Cynopteri,2
WP_004753906.1,Cynopteri,2
WP_004781756.1,Cynopteri,2
WP_004763653.1,Cynopteri,2
WP_004753611.1,Cynopteri,2
WP_004753611.1,Cynopteri,2
WP_004754967.1,Cynopteri,2
WP_016560382.1,Cynopteri,2
WP_004755262.1,Cynopteri,2
WP_004754191.1,Cynopteri,2
WP_004755250.1,Cynopteri,2
WP_016560498.1,Cynopteri,2
WP_016748654.1,Cynopteri,2
WP_016560351.1,Cynopteri,2
WP_016560515.1,Djasiman,2
WP_000340715.1,Djasiman,2
WP_000410273.1,Djasiman,2
WP_000604524.1,Djasiman,2
WP_000884059.1,Djasiman,2
WP_000646251.1,Djasiman,2
WP_000774260.1,Djasiman,2
WP_000612794.1,Djasiman,2
WP_000612794.1,Djasiman,2
WP_001067557.1,Djasiman,2
WP_001198107.1,Djasiman,2
WP_000608286.1,Djasiman,2
WP_000689744.1,Djasiman,2
WP_000689744.1,Djasiman,2
WP_000342715.1,Djasiman,2
WP_001246622.1,Djasiman,2
WP_001246622.1,Djasiman,2
WP_000479982.1,Djasiman,2
WP_000715956.1,Djasiman,2
WP_001088861.1,Djasiman,2
WP_000517242.1,Djasiman,2
WP_000611594.1,Djasiman,2
WP_001015417.1,Djasiman,2
WP_000980525.1,Djasiman,2
WP_000405259.1,Djasiman,2
WP_000481873.1,Djasiman,2
WP_002080969.1,Djasiman,2
WP_002080969.1,Djasiman,2
WP_000378095.1,Djasiman,2
WP_000172660.1,Djasiman,2
WP_000643164.1,Djasiman,2
WP_002068380.1,Djasiman,2
WP_000440092.1,Djasiman,2
WP_002072235.1,Djasiman,2
WP_000684878.1,Djasiman,2
WP_000653659.1,Djasiman,2
WP_001968196.1,Djasiman,2
WP_001033784.1,Djasiman,2
WP_001033784.1,Djasiman,2
WP_002080970.1,Djasiman,2
WP_002081174.1,Djasiman,2
WP_000797485.1,Djasiman,2
WP_002081175.1,Djasiman,2
WP_000855241.1,Djasiman,2
WP_000883343.1,Djasiman,2
WP_000802826.1,Djasiman,2
WP_000102499.1,Djasiman,2
WP_001016533.1,Djasiman,2
WP_000412932.1,Djasiman,2
WP_000779902.1,Djasiman,2
WP_001283954.1,Djasiman,2
WP_001259773.1,Djasiman,2
WP_000750438.1,Djasiman,2
WP_001035153.1,Djasiman,2
WP_000348410.1,Djasiman,2
WP_000506116.1,Djasiman,2
WP_002081178.1,Djasiman,2
WP_001217658.1,Djasiman,2
WP_232428240.1,Djasiman,2
WP_000475904.1,Djasiman,2
WP_001023236.1,Djasiman,2
WP_001023236.1,Djasiman,2
WP_000734456.1,Djasiman,2
WP_000686576.1,Djasiman,2
WP_000289498.1,Djasiman,2
WP_000103602.1,Djasiman,2
WP_000939575.1,Djasiman,2
WP_000050431.1,Djasiman,2
WP_001084681.1,Djasiman,2
WP_000876106.1,Djasiman,2
WP_000343398.1,Djasiman,2
WP_025185598.1,Djasiman,2
WP_000560749.1,Djasiman,2
WP_000282880.1,Djasiman,2
WP_000854006.1,Djasiman,2
WP_000854006.1,Djasiman,2
WP_001159758.1,Djasiman,2
WP_000642153.1,Djasiman,2
WP_000723090.1,Djasiman,2
WP_000842255.1,Djasiman,2
WP_000878673.1,Djasiman,2
WP_001114264.1,Djasiman,2
WP_000394240.1,Djasiman,2
WP_000827974.1,Grippotyphosa,2
WP_004753574.1,Grippotyphosa,2
WP_004766657.1,Grippotyphosa,2
WP_262052077.1,Grippotyphosa,2
WP_000884059.1,Grippotyphosa,2
WP_000646251.1,Grippotyphosa,2
WP_000774262.1,Grippotyphosa,2
WP_000602734.1,Grippotyphosa,2
WP_000602734.1,Grippotyphosa,2
WP_004766696.1,Grippotyphosa,2
WP_004766691.1,Grippotyphosa,2
WP_004766642.1,Grippotyphosa,2
WP_004766692.1,Grippotyphosa,2
WP_004766692.1,Grippotyphosa,2
WP_002740998.1,Grippotyphosa,2
WP_016761674.1,Grippotyphosa,2
WP_016761674.1,Grippotyphosa,2
WP_000479982.1,Grippotyphosa,2
WP_000715956.1,Grippotyphosa,2
WP_001088861.1,Grippotyphosa,2
WP_000517243.1,Grippotyphosa,2
WP_000611591.1,Grippotyphosa,2
WP_004766685.1,Grippotyphosa,2
WP_000980525.1,Grippotyphosa,2
WP_000405259.1,Grippotyphosa,2
WP_000206940.1,Grippotyphosa,2
WP_000206940.1,Grippotyphosa,2
WP_000481873.1,Grippotyphosa,2
WP_001011328.1,Grippotyphosa,2
WP_002106376.1,Grippotyphosa,2
WP_002106376.1,Grippotyphosa,2
WP_000378097.1,Grippotyphosa,2
WP_004766731.1,Grippotyphosa,2
WP_000643164.1,Grippotyphosa,2
WP_002068380.1,Grippotyphosa,2
WP_000440092.1,Grippotyphosa,2
WP_002072235.1,Grippotyphosa,2
WP_000684878.1,Grippotyphosa,2
WP_002106372.1,Grippotyphosa,2
WP_232426365.1,Grippotyphosa,2
WP_232426365.1,Grippotyphosa,2
WP_002106334.1,Grippotyphosa,2
WP_002106334.1,Grippotyphosa,2
WP_004766735.1,Grippotyphosa,2
WP_004766679.1,Grippotyphosa,2
WP_004766637.1,Grippotyphosa,2
WP_004755403.1,Grippotyphosa,2
WP_004766738.1,Grippotyphosa,2
WP_004766676.1,Grippotyphosa,2
WP_004766739.1,Grippotyphosa,2
WP_004766726.1,Grippotyphosa,2
WP_004766687.1,Grippotyphosa,2
WP_004766728.1,Grippotyphosa,2
WP_004766633.1,Grippotyphosa,2
WP_004766709.1,Grippotyphosa,2
WP_004766737.1,Grippotyphosa,2
WP_004766688.1,Grippotyphosa,2
WP_016762247.1,Grippotyphosa,2
WP_004766653.1,Grippotyphosa,2
WP_004766690.1,Grippotyphosa,2
WP_025178353.1,Grippotyphosa,2
WP_004766708.1,Grippotyphosa,2
WP_004766741.1,Grippotyphosa,2
WP_004766632.1,Grippotyphosa,2
WP_004766632.1,Grippotyphosa,2
WP_004766684.1,Grippotyphosa,2
WP_004766636.1,Grippotyphosa,2
WP_004754974.1,Grippotyphosa,2
WP_016762250.1,Grippotyphosa,2
WP_016750624.1,Grippotyphosa,2
WP_004766715.1,Grippotyphosa,2
WP_004766701.1,Grippotyphosa,2
WP_004766723.1,Grippotyphosa,2
WP_004766638.1,Grippotyphosa,2
WP_004766697.1,Grippotyphosa,2
WP_004766630.1,Grippotyphosa,2
WP_004766695.1,Grippotyphosa,2
WP_004766713.1,Grippotyphosa,2
WP_004766713.1,Grippotyphosa,2
WP_004778486.1,Grippotyphosa,2
WP_004766727.1,Grippotyphosa,2
WP_004766668.1,Grippotyphosa,2
WP_004766678.1,Grippotyphosa,2
WP_004766669.1,Grippotyphosa,2
WP_004766716.1,Grippotyphosa,2
WP_004766719.1,Grippotyphosa,2
WP_004766644.1,Panama,2
WP_017214669.1,Panama,2
WP_017214670.1,Panama,2
WP_017214671.1,Panama,2
WP_017214672.1,Panama,2
WP_017214673.1,Panama,2
WP_017214674.1,Panama,2
WP_017214675.1,Panama,2
WP_017214675.1,Panama,2
WP_017214676.1,Panama,2
WP_017214677.1,Panama,2
WP_017214677.1,Panama,2
WP_017214678.1,Panama,2
WP_020981179.1,Panama,2
WP_020981179.1,Panama,2
WP_202900251.1,Panama,2
WP_202900251.1,Panama,2
WP_017214681.1,Panama,2
WP_017214682.1,Panama,2
WP_017214683.1,Panama,2
WP_017214684.1,Panama,2
WP_017214685.1,Panama,2
WP_017214686.1,Panama,2
WP_238323712.1,Panama,2
WP_017214689.1,Panama,2
WP_020981159.1,Panama,2
WP_017214691.1,Panama,2
WP_017214692.1,Panama,2
WP_020981249.1,Panama,2
WP_020981272.1,Panama,2
WP_017214696.1,Panama,2
WP_020981225.1,Panama,2
WP_017214698.1,Panama,2
WP_017214699.1,Panama,2
WP_017214700.1,Panama,2
WP_017214701.1,Panama,2
WP_235592100.1,Panama,2
WP_017214703.1,Panama,2
WP_020981137.1,Panama,2
WP_020981137.1,Panama,2
WP_017214706.1,Panama,2
WP_201028152.1,Panama,2
WP_017214708.1,Panama,2
WP_017214709.1,Panama,2
WP_020981175.1,Panama,2
WP_020981175.1,Panama,2
WP_020981230.1,Panama,2
WP_017214711.1,Panama,2
WP_017214712.1,Panama,2
WP_017214713.1,Panama,2
WP_017214713.1,Panama,2
WP_017214714.1,Panama,2
WP_020981199.1,Panama,2
WP_017214717.1,Panama,2
WP_017214718.1,Panama,2
WP_017214719.1,Panama,2
WP_017214720.1,Panama,2
WP_017214721.1,Panama,2
WP_017214722.1,Panama,2
WP_155243473.1,Panama,2
WP_020981237.1,Panama,2
WP_017214726.1,Panama,2
WP_017214727.1,Panama,2
WP_017214728.1,Panama,2
WP_017214729.1,Panama,2
WP_017214733.1,Panama,2
WP_017214734.1,Panama,2
WP_020981216.1,Panama,2
WP_017214735.1,Panama,2
WP_017214736.1,Panama,2
WP_017214737.1,Panama,2
WP_036057970.1,Panama,2
WP_017214741.1,Panama,2
WP_017214742.1,Panama,2
WP_020981201.1,Panama,2
WP_020981201.1,Panama,2
WP_020981182.1,Panama,2
WP_017214744.1,Panama,2
WP_020981251.1,Panama,2
WP_020981311.1,Panama,2
WP_017214747.1,Panama,2
WP_017214748.1,Panama,2
WP_036057972.1,Panama,2
WP_017214750.1,Panama,2
WP_002178492.1,Panama,2
WP_017214751.1,Panama,2
WP_017214752.1,Panama,2
WP_020981233.1,Panama,2
WP_020981200.1,Panama,2
WP_020981200.1,Panama,2
WP_002178814.1,Panama,2
WP_017214754.1,Panama,2
WP_017214755.1,Panama,2
WP_002178630.1,Panama,2
WP_020981253.1,Panama,2
WP_017214757.1,Panama,2
WP_002178900.1,Panama,2
WP_017214758.1,Pomona,2
WP_000340715.1,Pomona,2
WP_000410266.1,Pomona,2
WP_000604525.1,Pomona,2
WP_000884059.1,Pomona,2
WP_000646254.1,Pomona,2
